2019-01-04 15:49:11,425 [Worker-15] INFO  o.e.m.c.i.p.ProjectConfigurationManager - Collecting project info '/pom.xml' D:\Pankaj\Practice\SpringA-Z\DemoProject\reviewall\pom.xml
2019-01-04 15:49:12,210 [Worker-15] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: com.demo:reviewall:0.0.1-SNAPSHOT @ D:\Pankaj\Practice\SpringA-Z\DemoProject\reviewall\pom.xml.
2019-01-04 15:49:12,895 [Worker-15] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /reviewall/src/main/java
2019-01-04 15:49:12,895 [Worker-15] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding resource folder /reviewall/src/main/resources
2019-01-04 15:49:12,895 [Worker-15] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /reviewall/src/test/java
2019-01-04 15:49:15,105 [Worker-15] INFO  o.e.m.c.i.p.ProjectConfigurationManager - Imported and configured 1 project(s) in 3 sec
2019-01-04 15:49:16,354 [Worker-5] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2019-01-04 15:49:16,770 [Worker-5] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2019-01-04 15:49:16,773 [Worker-5] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2019-01-04 15:49:16,774 [Worker-5] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory D:\Pankaj\Practice\SpringA-Z\DemoProject\reviewall\src\test\resources
2019-01-04 15:50:01,533 [Worker-17] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2019-01-04 15:50:01,535 [Worker-17] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2019-01-04 15:50:01,536 [Worker-17] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2019-01-04 15:50:01,537 [Worker-17] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory D:\Pankaj\Practice\SpringA-Z\DemoProject\reviewall\src\test\resources
